registration,date,liters,amount,odometer_km
GT-123-AB,2026-08-12,145.20,218.35,87520
GT-123-AB,2026-08-14,132.80,199.86,87840
GT-123-AB,2026-08-16,158.50,238.33,88210
GT-123-AB,2026-08-18,141.00,212.06,88560
GT-456-CD,2026-08-12,128.40,193.22,65430
GT-456-CD,2026-08-15,135.60,204.03,65780
GT-456-CD,2026-08-17,142.30,214.11,66120
GT-789-EF,2026-08-11,155.70,234.11,112340
GT-789-EF,2026-08-13,148.90,223.90,112700
GT-789-EF,2026-08-15,160.20,240.90,113080
GT-789-EF,2026-08-17,138.50,208.29,113420
GT-321-GH,2026-08-13,125.80,189.28,45670
GT-321-GH,2026-08-16,140.30,211.09,46010
GT-654-IJ,2026-08-12,138.90,208.91,78900
GT-654-IJ,2026-08-14,152.40,229.15,79260
GT-654-IJ,2026-08-17,145.60,218.94,79610
GT-987-KL,2026-08-14,130.20,195.93,54320
GT-987-KL,2026-08-16,147.80,222.25,54680
